date,gross_return,commission_cost,slippage_cost,borrow_cost,net_return,turnover,gross_exposure,full_gross_exposure,cap_binding,n_long,n_short
2013-05-22,-0.0032071625586971805,9.999999999999998e-05,0.00029999999999999987,3.499666321126522e-05,-0.0036421592219084455,1.9999999999999993,0.9999999999999997,True,True,22,22
2013-05-23,0.0013606569107578858,9.999999999999999e-05,0.0002999999999999999,3.3080520115013485e-05,0.0009275763906428724,1.9999999999999998,0.9999999999999999,True,True,22,22
2013-05-24,0.0006895424065399784,9.999999999999998e-05,0.00029999999999999987,4.9168812525151566e-05,0.000240373594014827,1.9999999999999993,0.9999999999999997,True,True,22,22
2013-05-28,-0.0015808243299084723,9.999999999999998e-05,0.00029999999999999987,4.0043290043290034e-05,-0.002020867619951762,1.9999999999999993,0.9999999999999997,True,True,22,22
2013-05-29,-0.00016241678434856404,0.0001,0.0003,3.007793554367554e-05,-0.0005924947198922395,2.0,1.0,True,True,22,22
2013-05-30,-0.001172993458891582,9.999999999999998e-05,0.0002999999999999999,1.803751803751804e-05,-0.0015910309769291001,1.9999999999999996,0.9999999999999998,True,True,22,22
2013-05-31,0.0009046892842413763,0.0001,0.0003,4.136025774348281e-05,0.0004633290264978935,2.0,1.0,True,True,22,22
2013-06-03,0.000800925261595603,9.999999999999998e-05,0.00029999999999999987,3.267117527715683e-05,0.00036825408631844636,1.9999999999999993,0.9999999999999997,True,True,22,22
2013-06-04,-0.0004703591448809417,9.999999999999998e-05,0.0002999999999999999,2.3224069733066137e-05,-0.0008935832146140078,1.9999999999999996,0.9999999999999998,True,True,22,22
2013-06-05,0.0007323383121416623,9.999999999999998e-05,0.0002999999999999999,4.131194228204586e-05,0.00029102636985961657,1.9999999999999996,0.9999999999999998,True,True,22,22
2013-06-06,0.0032684564969300625,9.999999999999996e-05,0.00029999999999999987,2.3407957567139156e-05,0.0028450485393629234,1.9999999999999991,0.9999999999999996,True,True,22,22
2013-06-07,0.0018873071366538683,9.999999999999999e-05,0.0002999999999999999,2.0616469931525412e-05,0.001466690666722343,1.9999999999999998,0.9999999999999999,True,True,22,22
2013-06-10,-0.004015319555927943,0.0001,0.0003,2.7479866707205952e-05,-0.004442799422635149,2.0,1.0,True,True,22,22
2013-06-11,0.003406293211690915,0.0001,0.0003,3.5135921036277894e-05,0.0029711572906546374,2.0,1.0,True,True,22,22
2013-06-12,-0.00019026145736736376,9.999999999999998e-05,0.0002999999999999999,2.938811193362033e-05,-0.0006196495693009841,1.9999999999999996,0.9999999999999998,True,True,22,22
2013-06-13,0.0017239408044456448,0.0001,0.0003,2.867426861538349e-05,0.0012952665358302614,2.0,1.0,True,True,22,22
2013-06-14,0.0013363038209228558,9.999999999999996e-05,0.00029999999999999987,2.258142348163913e-05,0.0009137223974412167,1.9999999999999991,0.9999999999999996,True,True,22,22
2013-06-17,0.0011733651768376652,0.0001,0.0003,3.4877285560067534e-05,0.0007384878912775976,2.0,1.0,True,True,22,22
2013-06-18,0.0016160841110028552,0.0001,0.0003,3.4855524278977515e-05,0.0011812285867238777,2.0,1.0,True,True,22,22
2013-06-19,-0.004672104618155366,9.999999999999998e-05,0.0002999999999999999,2.4488396453175478e-05,-0.005096593014608542,1.9999999999999996,0.9999999999999998,True,True,21,21
