date,ic,n
2018-09-21,-0.1263897899942064,944
2018-09-24,0.1276068235838192,963
2018-09-25,0.0393077763145986,962
2018-09-26,0.02036123093614835,964
2018-09-27,-0.15476074091394082,969
2018-09-28,0.18558505314379084,969
2018-10-01,-0.1389874158146214,976
2018-10-02,0.15217188592092665,972
2018-10-03,0.038952057033579256,972
2018-10-04,-0.06523377036967286,981
2018-10-05,-0.3446067481036482,979
2018-10-08,-0.1136157781170732,981
2018-10-09,-0.09892825637743745,976
2018-10-10,-0.0539252585423642,974
2018-10-11,0.4656862454734659,978
2018-10-12,-0.035219088205191346,971
2018-10-15,0.3607893190402078,960
2018-10-16,0.21529930532112965,936
2018-10-17,-0.1430201882435032,926
2018-10-18,0.18475173403060416,938
2018-10-19,0.1555443883593237,930
2018-10-22,-0.5048486692768285,892
2018-10-23,-0.06260864984462818,803
2018-10-24,0.16790636969918146,781
2018-10-25,-0.6052630971377754,823
2018-10-26,0.13933160212200396,866
2018-10-29,-0.07898352301704636,874
2018-10-30,0.4585251114073826,803
2018-10-31,0.13510193453143154,807
2018-11-01,0.10667108040311311,851
2018-11-02,0.05994751054921869,879
2018-11-05,0.06716138229654756,902
2018-11-06,0.3590505028835482,867
2018-11-07,0.0043128352516789105,898
2018-11-08,-0.1014825819527978,935
2018-11-09,-0.02307515256284162,968
2018-11-12,0.14674738805249946,977
2018-11-13,0.4226742258749011,971
2018-11-14,0.0022105687101006185,974
2018-11-15,-0.1793058893037035,976
2018-11-16,-0.03425314587554325,960
2018-11-19,-0.2661460498093143,963
2018-11-20,0.3010041497814894,963
2018-11-21,-0.2761642641080842,976
2018-11-23,-0.024972890757828978,978
2018-11-26,-0.13950427963626702,968
2018-11-27,0.051354104133350634,965
2018-11-28,-0.05475001322029025,958
2018-11-29,0.1618813795986562,959
2018-11-30,0.17056189938384494,955
2018-12-03,-0.1932641320018093,956
2018-12-04,-0.18236970379951972,950
2018-12-06,-0.07502579163338657,953
2018-12-07,-0.21038406987181626,958
2018-12-10,0.3883836982110291,965
2018-12-11,0.39800494261936636,963
2018-12-12,0.2494287387840028,964
2018-12-13,-0.41931729698063935,967
2018-12-14,-0.3269226081007664,967
2018-12-17,0.19201693188033933,963
2018-12-18,-0.014282730905933006,961
2018-12-19,-0.11550519358855388,961
2018-12-20,0.04858977972151579,972
2018-12-21,-0.21215637735272308,974
2018-12-24,0.2837553593011446,987
2018-12-26,0.0038740079091972423,988
2018-12-27,0.1684161637759682,986
2018-12-28,0.06329494911176468,989
2018-12-31,-0.2253675082803309,987
2019-01-02,-0.08651218231559327,991
2019-01-03,-0.30200197097627096,990
2019-01-04,0.19923452586131749,992
2019-01-07,0.09153875997506555,991
2019-01-08,0.13248254092395714,991
2019-01-09,-0.26317312054274766,988
2019-01-10,-0.0596396382982733,987
2019-01-11,-0.05102101933253292,986
2019-01-14,0.17808758388282825,978
2019-01-15,-0.08749575304469633,968
2019-01-16,-0.019264528918150392,961
2019-01-17,0.3013273723451893,961
2019-01-18,-0.08015681654770905,951
2019-01-22,0.09650144685176902,934
2019-01-23,0.24280576663976627,921
2019-01-24,0.39127847559455503,927
2019-01-25,-0.2301495125884798,928
2019-01-28,-0.07468764366414804,909
2019-01-29,0.3258959407069309,852
2019-01-30,0.10195479240340677,851
2019-01-31,-0.04452589387841339,890
2019-02-01,0.07161731656129916,916
2019-02-04,0.12172762491295196,907
2019-02-05,0.08801137917388295,858
2019-02-06,-0.21654836430363497,841
2019-02-07,-0.1206835315482055,872
2019-02-08,0.18619362427622133,900
2019-02-11,0.2901931598329535,924
2019-02-12,0.2025078889735413,875
2019-02-13,-0.04527854001325562,881
2019-02-14,0.22816750863115645,893
2019-02-15,-0.052868915484816446,923
2019-02-19,0.13718469363001815,904
2019-02-20,-0.05085114934805721,888
2019-02-21,0.0954148604338137,899
2019-02-22,0.3147378941005311,917
2019-02-25,-0.18143615187702206,918
2019-02-26,-0.11643795795108035,904
2019-02-27,-0.12949071467867249,905
2019-02-28,0.23321781646914772,935
2019-03-01,0.21055477306728296,950
2019-03-04,0.07393000858059087,962
2019-03-05,-0.02132750332777223,957
2019-03-06,-0.18873409972361915,960
2019-03-07,-0.4865997673881136,971
2019-03-08,0.14567785753292958,976
2019-03-11,0.18415758508116895,979
2019-03-12,0.2179369270786248,978
2019-03-13,-0.05783457957015365,973
2019-03-14,0.04904142249809585,974
2019-03-15,0.021777597129684193,976
2019-03-18,0.21872840700249302,982
2019-03-19,-0.031392394974428924,977
